0.65439,1.8899,0.05
1.2367,1.5718,0.1
1.6829,1.0806,0.15
1.9439,0.47048,0.2
1.9908,-0.19145,0.25
1.8186,-0.83229,0.3
1.4462,-1.3815,0.35
0.91455,-1.7787,0.4
0.28224,-1.98,0.45
-0.38114,-1.9633,0.5
-1.0026,-1.7306,0.55
-1.5136,-1.3073,0.6
-1.858,-0.74009,0.65
-1.9979,-0.091413,0.7
-1.9178,0.56732,0.75
-1.6267,1.1636,0.8
-1.1564,1.6318,0.85
-0.55883,1.9203,0.9
0.10025,1.9975,0.95
0.7483,1.8547,1
1.314,1.5078,1.05
1.735,0.99489,1.1
1.965,0.37244,1.15
1.9787,-0.291,1.2
1.7746,-0.92241,1.25
1.3751,-1.4523,1.3
0.82424,-1.8223,1.35
0.18263,-1.9916,1.4
-0.47907,-1.9418,1.45
-1.088,-1.6781,1.5
-1.5772,-1.2298,1.55
-1.8928,-0.64602,1.6
-2,0.0088514,1.65
-1.887,0.66275,1.7
-1.5663,1.2437,1.75
-1.0731,1.6877,1.8
-0.46187,1.9459,1.85
0.20026,1.9899,1.9
0.84033,1.8149,1.95
1.3879,1.44,2
1.7827,0.90666,2.05
1.9812,0.27347,2.1
1.9616,-0.38982,2.15
1.7261,-1.0102,2.2
1.3006,-1.5194,2.25
0.73186,-1.8613,2.3
0.08257,-1.9983,2.35
-0.57581,-1.9153,2.4
-1.1708,-1.6215,2.45
-1.6369,-1.1492,2.5
-1.9228,-0.55033,2.55
-1.997,0.10909,2.6
-1.8514,0.7565,2.65
-1.502,1.3206,2.7
-0.9872,1.7394,2.75
-0.36374,1.9666,2.8
0.29975,1.9774,2.85
0.93025,1.7705,2.9
1.4583,1.3687,2.95
1.8259,0.81616,3
1.9924,0.17382,3.05
1.9396,-0.48766,3.1
1.6733,-1.0955,3.15
1.2228,-1.5827,3.2
0.63764,-1.8956,3.25
-0.017703,-1.9999,3.3
-0.67109,-1.884,3.35
-1.2506,-1.5608,3.4
-1.6924,-1.0657,3.45
-1.948,-0.45325,3.5
-1.989,0.20906,3.55
-1.8112,0.84836,3.6
-1.4339,1.3943,3.65
-0.89877,1.7867,3.7
-0.2647,1.9824,3.75
0.3985,1.9599,3.8
1.0178,1.7216,3.85
1.5251,1.2938,3.9
1.8645,0.72361,3.95
1.9986,0.073725,4
1.9128,-0.58428,4.05
1.6163,-1.178,4.1
1.1419,-1.642,4.15
0.54181,-1.9252,4.2
-0.11793,-1.9965,4.25
-0.76469,-1.848,4.3
-1.3273,-1.4961,4.35
-1.7437,-0.97949,4.4
-1.9682,-0.35504,4.45
-1.9761,0.3085,4.5
-1.7664,0.93808,4.55
-1.3622,1.4644,4.6
-0.80808,1.8295,4.65
-0.165,1.9932,4.7
0.49624,1.9375,4.75
1.1029,1.6684,4.8
1.5881,1.2158,4.85
1.8984,0.62924,4.9
1.9998,-0.026553,4.95
1.8811,-0.67942,5
