0.32719	0.94496	0.33333
0.61837	0.78589	0.66667
0.84147	0.5403	1
0.97194	0.23524	1.3333
0.99541	-0.095724	1.6667
0.9093	-0.41615	2
0.72309	-0.69076	2.3333
0.45727	-0.88933	2.6667
0.14112	-0.98999	3
-0.19057	-0.98167	3.3333
-0.50128	-0.86529	3.6667
-0.7568	-0.65364	4
-0.92901	-0.37004	4.3333
-0.99895	-0.045706	4.6667
-0.95892	0.28366	5
-0.81333	0.5818	5.3333
-0.5782	0.8159	5.6667
-0.27942	0.96017	6
0.050127	0.99874	6.3333
0.37415	0.92737	6.6667
0.65699	0.7539	7
0.8675	0.49744	7.3333
0.98251	0.18622	7.6667
0.98936	-0.1455	8
0.88729	-0.4612	8.3333
0.68755	-0.72614	8.6667
0.41212	-0.91113	9
0.091317	-0.99582	9.3333
-0.23954	-0.97089	9.6667
-0.54402	-0.83907	10
-0.78862	-0.61489	10.333
-0.9464	-0.32301	10.667
-0.99999	0.0044257	11
-0.9435	0.33137	11.333
-0.78314	0.62184	11.667
-0.53657	0.84385	12
-0.23093	0.97297	12.333
0.10013	0.99497	12.667
0.42017	0.90745	13
0.69395	0.72002	13.333
0.89134	0.45333	13.667
0.99061	0.13674	14
0.98082	-0.19491	14.333
0.86306	-0.5051	14.667
0.65029	-0.75969	15
0.36593	-0.93064	15.333
0.041285	-0.99915	15.667
-0.2879	-0.95766	16
-0.5854	-0.81075	16.333
-0.81845	-0.57458	16.667
-0.9614	-0.27516	17
-0.99851	0.054547	17.333
-0.9257	0.37825	17.667
-0.75099	0.66032	18
-0.4936	0.86969	18.333
-0.18187	0.98332	18.667
0.14988	0.9887	19
0.46513	0.88524	19.333
0.72917	0.68433	19.667
0.91295	0.40808	20
0.99622	0.086909	20.333
0.96982	-0.24383	20.667
0.83666	-0.54773	21
0.61139	-0.79133	21.333
0.31882	-0.94782	21.667
-0.0088513	-0.99996	22
-0.33555	-0.94202	22.333
-0.6253	-0.78038	22.667
-0.84622	-0.53283	23
-0.97398	-0.22663	23.333
-0.99452	0.10453	23.667
-0.90558	0.42418	24
-0.71694	0.69713	24.333
-0.44938	0.89334	24.667
-0.13235	0.9912	25
0.19925	0.97995	25.333
0.50892	0.86082	25.667
0.76256	0.64692	26
0.93225	0.36181	26.333
0.99932	0.036863	26.667
0.95638	-0.29214	27
0.80815	-0.58898	27.333
0.57095	-0.82098	27.667
0.27091	-0.96261	28
-0.058965	-0.99826	28.333
-0.38234	-0.92402	28.667
-0.66363	-0.74806	29
-0.87187	-0.48974	29.333
-0.98412	-0.17752	29.667
-0.98803	0.15425	30
-0.88318	0.46904	30.333
-0.6811	0.73219	30.667
-0.40404	0.91474	31
-0.082499	0.99659	31.333
0.24812	0.96873	31.667
0.55143	0.83422	32
0.79403	0.60788	32.333
0.94922	0.31462	32.667
0.99991	-0.013277	33
0.94053	-0.33971	33.333
